tanggal,komoditas,pasar,harga
2024-01-01,AYAM KAMPUNG,CISOKA,70000
2024-01-01,AYAM KAMPUNG,SEPATAN,80000
2024-01-01,BAWANG MERAH,CISOKA,35000
2024-01-01,BAWANG MERAH,SEPATAN,35000
2024-01-01,BAWANG PUTIH,CISOKA,38000
2024-01-01,BAWANG PUTIH,SEPATAN,35000
2024-01-01,BERAS IR 64 KW I,CISOKA,13000
2024-01-01,BERAS IR 64 KW I,SEPATAN,13000
2024-01-01,BERAS IR 64 KW II,CISOKA,12000
2024-01-01,BERAS IR 64 KW II,SEPATAN,12000
2024-01-01,BERAS SPHP,CISOKA,10800
2024-01-01,BERAS SPHP,SEPATAN,10750
2024-01-01,MINYAK GORENG CURAH,CISOKA,14000
2024-01-01,MINYAK GORENG CURAH,SEPATAN,14000
2024-01-01,DAGING AYAM RAS,CISOKA,45000
2024-01-01,DAGING AYAM RAS,SEPATAN,60000
2024-01-01,DAGING SAPI MURNI,CISOKA,125000
2024-01-01,DAGING SAPI MURNI,SEPATAN,130000
2024-01-01,GULA PASIR LOKAL,CISOKA,17000
2024-01-01,GULA PASIR LOKAL,SEPATAN,17000
2024-01-01,MINYAK GORENG KEMASAN,CISOKA,15000
2024-01-01,MINYAK GORENG KEMASAN,SEPATAN,17000
2024-01-01,CABE MERAH BESAR,CISOKA,50000
2024-01-01,CABE MERAH BESAR,SEPATAN,60000
2024-01-01,CABE MERAH KERITING,CISOKA,60000
2024-01-01,CABE MERAH KERITING,SEPATAN,60000
2024-01-01,MINYAK GORENG MINYAK KITA,CISOKA,14500
2024-01-01,MINYAK GORENG MINYAK KITA,SEPATAN,14500
2024-01-01,CABE RAWIT HIJAU,CISOKA,40000
2024-01-01,CABE RAWIT HIJAU,SEPATAN,30000
2024-01-01,CABE RAWIT MERAH,CISOKA,70000
2024-01-01,CABE RAWIT MERAH,SEPATAN,80000
2024-01-01,TEPUNG SEGITIGA BIRU (KW MEDIUM),CISOKA,12000
2024-01-01,TEPUNG SEGITIGA BIRU (KW MEDIUM),SEPATAN,12000
2024-01-01,TELUR AYAM BOILLER,CISOKA,26000
2024-01-01,TELUR AYAM BOILLER,SEPATAN,27000
2024-01-01,TELUR AYAM KAMPUNG,CISOKA,2500
2024-01-01,TELUR AYAM KAMPUNG,SEPATAN,3000
2024-01-02,AYAM KAMPUNG,CISOKA,70000
2024-01-02,AYAM KAMPUNG,SEPATAN,80000
2024-01-02,BAWANG MERAH,CISOKA,35000
2024-01-02,BAWANG MERAH,SEPATAN,35000
2024-01-02,BAWANG PUTIH,CISOKA,38000
2024-01-02,BAWANG PUTIH,SEPATAN,35000
2024-01-02,BERAS IR 64 KW I,CISOKA,13000
2024-01-02,BERAS IR 64 KW I,SEPATAN,13000
2024-01-02,BERAS IR 64 KW II,CISOKA,12000
2024-01-02,BERAS IR 64 KW II,SEPATAN,12000
2024-01-02,BERAS SPHP,CISOKA,10800
2024-01-02,BERAS SPHP,SEPATAN,10750
2024-01-02,MINYAK GORENG CURAH,CISOKA,13000
2024-01-02,MINYAK GORENG CURAH,SEPATAN,14000
2024-01-02,DAGING AYAM RAS,CISOKA,45000
2024-01-02,DAGING AYAM RAS,SEPATAN,60000
2024-01-02,DAGING SAPI MURNI,CISOKA,125000
2024-01-02,DAGING SAPI MURNI,SEPATAN,130000
2024-01-02,GULA PASIR LOKAL,CISOKA,17000
2024-01-02,GULA PASIR LOKAL,SEPATAN,17000
2024-01-02,MINYAK GORENG KEMASAN,CISOKA,15000
2024-01-02,MINYAK GORENG KEMASAN,SEPATAN,17000
2024-01-02,CABE MERAH BESAR,CISOKA,50000
2024-01-02,CABE MERAH BESAR,SEPATAN,60000
2024-01-02,CABE MERAH KERITING,CISOKA,60000
2024-01-02,CABE MERAH KERITING,SEPATAN,60000
2024-01-02,MINYAK GORENG MINYAK KITA,CISOKA,14500
2024-01-02,MINYAK GORENG MINYAK KITA,SEPATAN,14500
2024-01-02,CABE RAWIT HIJAU,CISOKA,40000
2024-01-02,CABE RAWIT HIJAU,SEPATAN,30000
2024-01-02,CABE RAWIT MERAH,CISOKA,70000
2024-01-02,CABE RAWIT MERAH,SEPATAN,80000
2024-01-02,TEPUNG SEGITIGA BIRU (KW MEDIUM),CISOKA,12000
2024-01-02,TEPUNG SEGITIGA BIRU (KW MEDIUM),SEPATAN,12000
2024-01-02,TELUR AYAM BOILLER,CISOKA,26000
2024-01-02,TELUR AYAM BOILLER,SEPATAN,27000
2024-01-02,TELUR AYAM KAMPUNG,CISOKA,2500
2024-01-02,TELUR AYAM KAMPUNG,SEPATAN,3000
2024-01-03,AYAM KAMPUNG,CISOKA,70000
2024-01-03,AYAM KAMPUNG,SEPATAN,80000
2024-01-03,BAWANG MERAH,CISOKA,35000
2024-01-03,BAWANG MERAH,SEPATAN,35000
2024-01-03,BAWANG PUTIH,CISOKA,38000
2024-01-03,BAWANG PUTIH,SEPATAN,35000
2024-01-03,BERAS IR 64 KW I,CISOKA,13000
2024-01-03,BERAS IR 64 KW I,SEPATAN,13000
2024-01-03,BERAS IR 64 KW II,CISOKA,12000
2024-01-03,BERAS IR 64 KW II,SEPATAN,12000
2024-01-03,BERAS SPHP,CISOKA,10800
2024-01-03,BERAS SPHP,SEPATAN,10750
2024-01-03,MINYAK GORENG CURAH,CISOKA,13000
2024-01-03,MINYAK GORENG CURAH,SEPATAN,14000
2024-01-03,DAGING AYAM RAS,CISOKA,45000
2024-01-03,DAGING AYAM RAS,SEPATAN,60000
2024-01-03,DAGING SAPI MURNI,CISOKA,125000
2024-01-03,DAGING SAPI MURNI,SEPATAN,130000
2024-01-03,GULA PASIR LOKAL,CISOKA,17000
2024-01-03,GULA PASIR LOKAL,SEPATAN,17000
2024-01-03,MINYAK GORENG KEMASAN,CISOKA,15000
2024-01-03,MINYAK GORENG KEMASAN,SEPATAN,17000
2024-01-03,CABE MERAH BESAR,CISOKA,50000
2024-01-03,CABE MERAH BESAR,SEPATAN,60000
2024-01-03,CABE MERAH KERITING,CISOKA,60000
2024-01-03,CABE MERAH KERITING,SEPATAN,60000
2024-01-03,MINYAK GORENG MINYAK KITA,CISOKA,14500
2024-01-03,MINYAK GORENG MINYAK KITA,SEPATAN,14500
2024-01-03,CABE RAWIT HIJAU,CISOKA,40000
2024-01-03,CABE RAWIT HIJAU,SEPATAN,30000
2024-01-03,CABE RAWIT MERAH,CISOKA,70000
2024-01-03,CABE RAWIT MERAH,SEPATAN,80000
2024-01-03,TEPUNG SEGITIGA BIRU (KW MEDIUM),CISOKA,12000
2024-01-03,TEPUNG SEGITIGA BIRU (KW MEDIUM),SEPATAN,12000
2024-01-03,TELUR AYAM BOILLER,CISOKA,26000
2024-01-03,TELUR AYAM BOILLER,SEPATAN,27000
2024-01-03,TELUR AYAM KAMPUNG,CISOKA,2500
2024-01-03,TELUR AYAM KAMPUNG,SEPATAN,3000
2024-01-04,AYAM KAMPUNG,CISOKA,70000
2024-01-04,AYAM KAMPUNG,SEPATAN,80000
2024-01-04,BAWANG MERAH,CISOKA,35000
2024-01-04,BAWANG MERAH,SEPATAN,35000
2024-01-04,BAWANG PUTIH,CISOKA,38000
2024-01-04,BAWANG PUTIH,SEPATAN,35000
2024-01-04,BERAS IR 64 KW I,CISOKA,13000
2024-01-04,BERAS IR 64 KW I,SEPATAN,13000
2024-01-04,BERAS IR 64 KW II,CISOKA,12000
2024-01-04,BERAS IR 64 KW II,SEPATAN,12000
2024-01-04,BERAS SPHP,CISOKA,10800
2024-01-04,BERAS SPHP,SEPATAN,10750
2024-01-04,MINYAK GORENG CURAH,CISOKA,13000
2024-01-04,MINYAK GORENG CURAH,SEPATAN,14000
2024-01-04,DAGING AYAM RAS,CISOKA,45000
2024-01-04,DAGING AYAM RAS,SEPATAN,60000
2024-01-04,DAGING SAPI MURNI,CISOKA,125000
2024-01-04,DAGING SAPI MURNI,SEPATAN,130000
2024-01-04,GULA PASIR LOKAL,CISOKA,17000
2024-01-04,GULA PASIR LOKAL,SEPATAN,17000
2024-01-04,MINYAK GORENG KEMASAN,CISOKA,15000
2024-01-04,MINYAK GORENG KEMASAN,SEPATAN,17000
2024-01-04,CABE MERAH BESAR,CISOKA,50000
2024-01-04,CABE MERAH BESAR,SEPATAN,60000
2024-01-04,CABE MERAH KERITING,CISOKA,60000
2024-01-04,CABE MERAH KERITING,SEPATAN,60000
2024-01-04,MINYAK GORENG MINYAK KITA,CISOKA,14500
2024-01-04,MINYAK GORENG MINYAK KITA,SEPATAN,14500
2024-01-04,CABE RAWIT HIJAU,CISOKA,40000
2024-01-04,CABE RAWIT HIJAU,SEPATAN,30000
2024-01-04,CABE RAWIT MERAH,CISOKA,70000
2024-01-04,CABE RAWIT MERAH,SEPATAN,80000
2024-01-04,TEPUNG SEGITIGA BIRU (KW MEDIUM),CISOKA,12000
2024-01-04,TEPUNG SEGITIGA BIRU (KW MEDIUM),SEPATAN,12000
2024-01-04,TELUR AYAM BOILLER,CISOKA,26000
2024-01-04,TELUR AYAM BOILLER,SEPATAN,27000
2024-01-04,TELUR AYAM KAMPUNG,CISOKA,2500
2024-01-04,TELUR AYAM KAMPUNG,SEPATAN,3000
2024-01-05,AYAM KAMPUNG,CISOKA,70000
2024-01-05,AYAM KAMPUNG,SEPATAN,80000
2024-01-05,BAWANG MERAH,CISOKA,35000
2024-01-05,BAWANG MERAH,SEPATAN,30000
2024-01-05,BAWANG PUTIH,CISOKA,35000
2024-01-05,BAWANG PUTIH,SEPATAN,35000
2024-01-05,BERAS IR 64 KW I,CISOKA,13000
2024-01-05,BERAS IR 64 KW I,SEPATAN,13000
2024-01-05,BERAS IR 64 KW II,CISOKA,12000
2024-01-05,BERAS IR 64 KW II,SEPATAN,12000
2024-01-05,BERAS SPHP,CISOKA,10800
2024-01-05,BERAS SPHP,SEPATAN,10800
2024-01-05,MINYAK GORENG CURAH,CISOKA,13000
2024-01-05,MINYAK GORENG CURAH,SEPATAN,14000
2024-01-05,DAGING AYAM RAS,CISOKA,43000
2024-01-05,DAGING AYAM RAS,SEPATAN,60000
2024-01-05,DAGING SAPI MURNI,CISOKA,120000
2024-01-05,DAGING SAPI MURNI,SEPATAN,130000
2024-01-05,GULA PASIR LOKAL,CISOKA,17000
2024-01-05,GULA PASIR LOKAL,SEPATAN,17000
2024-01-05,MINYAK GORENG KEMASAN,CISOKA,16000
2024-01-05,MINYAK GORENG KEMASAN,SEPATAN,14000
2024-01-05,CABE MERAH BESAR,CISOKA,50000
2024-01-05,CABE MERAH BESAR,SEPATAN,55000
2024-01-05,CABE MERAH KERITING,CISOKA,60000
2024-01-05,CABE MERAH KERITING,SEPATAN,60000
2024-01-05,MINYAK GORENG MINYAK KITA,CISOKA,14500
2024-01-05,MINYAK GORENG MINYAK KITA,SEPATAN,14500
2024-01-05,CABE RAWIT HIJAU,CISOKA,40000
2024-01-05,CABE RAWIT HIJAU,SEPATAN,30000
2024-01-05,CABE RAWIT MERAH,CISOKA,70000
2024-01-05,CABE RAWIT MERAH,SEPATAN,70000
2024-01-05,TEPUNG SEGITIGA BIRU (KW MEDIUM),CISOKA,12000
2024-01-05,TEPUNG SEGITIGA BIRU (KW MEDIUM),SEPATAN,12000
2024-01-05,TELUR AYAM BOILLER,CISOKA,27000
2024-01-05,TELUR AYAM BOILLER,SEPATAN,27000
2024-01-05,TELUR AYAM KAMPUNG,CISOKA,2500
2024-01-05,TELUR AYAM KAMPUNG,SEPATAN,3000
2024-01-08,AYAM KAMPUNG,CISOKA,70000
2024-01-08,AYAM KAMPUNG,SEPATAN,80000
2024-01-08,BAWANG MERAH,CISOKA,35000
2024-01-08,BAWANG MERAH,SEPATAN,30000
2024-01-08,BAWANG PUTIH,CISOKA,35000
2024-01-08,BAWANG PUTIH,SEPATAN,35000
2024-01-08,BERAS IR 64 KW I,CISOKA,13000
2024-01-08,BERAS IR 64 KW I,SEPATAN,13000
2024-01-08,BERAS IR 64 KW II,CISOKA,12000
2024-01-08,BERAS IR 64 KW II,SEPATAN,12000
2024-01-08,BERAS SPHP,CISOKA,10800
2024-01-08,BERAS SPHP,SEPATAN,10800
2024-01-08,MINYAK GORENG CURAH,CISOKA,14000
2024-01-08,MINYAK GORENG CURAH,SEPATAN,14000
2024-01-08,DAGING AYAM RAS,CISOKA,45000
2024-01-08,DAGING AYAM RAS,SEPATAN,60000
2024-01-08,DAGING SAPI MURNI,CISOKA,125000
2024-01-08,DAGING SAPI MURNI,SEPATAN,130000
2024-01-08,GULA PASIR LOKAL,CISOKA,18000
2024-01-08,GULA PASIR LOKAL,SEPATAN,17000
2024-01-08,MINYAK GORENG KEMASAN,CISOKA,17000
2024-01-08,MINYAK GORENG KEMASAN,SEPATAN,17000
2024-01-08,CABE MERAH BESAR,CISOKA,50000
2024-01-08,CABE MERAH BESAR,SEPATAN,60000
2024-01-08,CABE MERAH KERITING,CISOKA,60000
2024-01-08,CABE MERAH KERITING,SEPATAN,70000
2024-01-08,MINYAK GORENG MINYAK KITA,CISOKA,14500
2024-01-08,MINYAK GORENG MINYAK KITA,SEPATAN,14500
2024-01-08,CABE RAWIT HIJAU,CISOKA,35000
2024-01-08,CABE RAWIT HIJAU,SEPATAN,30000
2024-01-08,CABE RAWIT MERAH,CISOKA,70000
2024-01-08,CABE RAWIT MERAH,SEPATAN,80000
2024-01-08,TEPUNG SEGITIGA BIRU (KW MEDIUM),CISOKA,12000
2024-01-08,TEPUNG SEGITIGA BIRU (KW MEDIUM),SEPATAN,12000
2024-01-08,TELUR AYAM BOILLER,CISOKA,27000
2024-01-08,TELUR AYAM BOILLER,SEPATAN,27000
2024-01-08,TELUR AYAM KAMPUNG,CISOKA,2500
2024-01-08,TELUR AYAM KAMPUNG,SEPATAN,3000
2024-01-09,AYAM KAMPUNG,CISOKA,70000
2024-01-09,AYAM KAMPUNG,SEPATAN,80000
2024-01-09,BAWANG MERAH,CISOKA,30000
2024-01-09,BAWANG MERAH,SEPATAN,30000
2024-01-09,BAWANG PUTIH,CISOKA,35000
2024-01-09,BAWANG PUTIH,SEPATAN,35000
2024-01-09,BERAS IR 64 KW I,CISOKA,13000
2024-01-09,BERAS IR 64 KW I,SEPATAN,13000
2024-01-09,BERAS IR 64 KW II,CISOKA,12000
2024-01-09,BERAS IR 64 KW II,SEPATAN,12000
2024-01-09,BERAS SPHP,CISOKA,10800
2024-01-09,BERAS SPHP,SEPATAN,10800
2024-01-09,MINYAK GORENG CURAH,CISOKA,14000
2024-01-09,MINYAK GORENG CURAH,SEPATAN,14000
2024-01-09,DAGING AYAM RAS,CISOKA,45000
2024-01-09,DAGING AYAM RAS,SEPATAN,60000
2024-01-09,DAGING SAPI MURNI,CISOKA,125000
2024-01-09,DAGING SAPI MURNI,SEPATAN,130000
2024-01-09,GULA PASIR LOKAL,CISOKA,18000
2024-01-09,GULA PASIR LOKAL,SEPATAN,17000
2024-01-09,MINYAK GORENG KEMASAN,CISOKA,17000
2024-01-09,MINYAK GORENG KEMASAN,SEPATAN,17000
2024-01-09,CABE MERAH BESAR,CISOKA,50000
2024-01-09,CABE MERAH BESAR,SEPATAN,60000
2024-01-09,CABE MERAH KERITING,CISOKA,75000
2024-01-09,CABE MERAH KERITING,SEPATAN,70000
2024-01-09,MINYAK GORENG MINYAK KITA,CISOKA,14500
2024-01-09,MINYAK GORENG MINYAK KITA,SEPATAN,14500
2024-01-09,CABE RAWIT HIJAU,CISOKA,35000
2024-01-09,CABE RAWIT HIJAU,SEPATAN,30000
2024-01-09,CABE RAWIT MERAH,CISOKA,65000
2024-01-09,CABE RAWIT MERAH,SEPATAN,80000
2024-01-09,TEPUNG SEGITIGA BIRU (KW MEDIUM),CISOKA,12000
2024-01-09,TEPUNG SEGITIGA BIRU (KW MEDIUM),SEPATAN,12000
2024-01-09,TELUR AYAM BOILLER,CISOKA,27000
2024-01-09,TELUR AYAM BOILLER,SEPATAN,27000
2024-01-09,TELUR AYAM KAMPUNG,CISOKA,2500
2024-01-09,TELUR AYAM KAMPUNG,SEPATAN,3000
2024-01-10,AYAM KAMPUNG,CISOKA,70000
2024-01-10,AYAM KAMPUNG,SEPATAN,80000
2024-01-10,BAWANG MERAH,CISOKA,30000
2024-01-10,BAWANG MERAH,SEPATAN,30000
2024-01-10,BAWANG PUTIH,CISOKA,35000
2024-01-10,BAWANG PUTIH,SEPATAN,35000
2024-01-10,BERAS IR 64 KW I,CISOKA,13000
2024-01-10,BERAS IR 64 KW I,SEPATAN,13000
2024-01-10,BERAS IR 64 KW II,CISOKA,12000
2024-01-10,BERAS IR 64 KW II,SEPATAN,12000
2024-01-10,BERAS SPHP,CISOKA,10800
2024-01-10,BERAS SPHP,SEPATAN,10800
2024-01-10,MINYAK GORENG CURAH,CISOKA,14000
2024-01-10,MINYAK GORENG CURAH,SEPATAN,14000
2024-01-10,DAGING AYAM RAS,CISOKA,45000
2024-01-10,DAGING AYAM RAS,SEPATAN,60000
2024-01-10,DAGING SAPI MURNI,CISOKA,125000
2024-01-10,DAGING SAPI MURNI,SEPATAN,130000
2024-01-10,GULA PASIR LOKAL,CISOKA,18000
2024-01-10,GULA PASIR LOKAL,SEPATAN,17000
2024-01-10,MINYAK GORENG KEMASAN,CISOKA,17000
